dam_code,dam_name,station_code,station_name,basin,latitude,longitude,observation_start_year,distance_km,rank_no,mapping_type,note
1003110,충주,8000119,충주보조수위,,,,,,113,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
1003110,충주,9000181,충주시(명서교),,,,,,114,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
1003110,충주,1003690,충주시(충주댐),,,,,,115,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
1003110,충주,1003696,충주시(충주댐방수로),,,,,,116,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
1003110,충주,9000273,충주시(팔봉교),,,,,,117,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
1006110,횡성,1006610,횡성군(율동리),한강,37.55777778,128.10694444,1999.0,5.40,1,DISTANCE_OFFICIAL,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
1006110,횡성,1002655,영월군(판운교),한강,37.29666667,128.34388889,1992.0,37.49,2,DISTANCE_CANDIDATE,거리 기반 후보입니다. 공식 하류 대표 관측소 여부는 추가 확인 필요
1006110,횡성,1002695,영월군(북쌍리),한강,37.19416667,128.40916667,1985.0,49.86,3,DISTANCE_CANDIDATE,거리 기반 후보입니다. 공식 하류 대표 관측소 여부는 추가 확인 필요
1006110,횡성,9000250,섬강교,,,,,,101,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
1006110,횡성,9900010,횡성 수위감지,,,,,,102,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
1006110,횡성,8000093,횡성교,,,,,,103,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
1006110,횡성,1006620,횡성군(횡성댐),,,,,,105,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
1012110,소양강,1010680,화천군(화천대교),한강,38.10055556,127.70833333,2002.0,19.66,1,DISTANCE_CANDIDATE,거리 기반 후보입니다. 공식 하류 대표 관측소 여부는 추가 확인 필요
1012110,소양강,1009652,화천군(평화나래교),한강,38.20777778,127.85138889,2010.0,29.39,2,DISTANCE_CANDIDATE,거리 기반 후보입니다. 공식 하류 대표 관측소 여부는 추가 확인 필요
1012110,소양강,1009650,화천군(평화의댐),한강,38.21111111,127.84500000,1998.0,29.71,3,DISTANCE_CANDIDATE,거리 기반 후보입니다. 공식 하류 대표 관측소 여부는 추가 확인 필요
1012110,소양강,1010640,양구군(각시교),한강,38.31888889,128.55000000,1998.0,,101,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
1012110,소양강,9000272,인제군(도리촌교),,,,,,102,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
1012110,소양강,1012670,인제군(양구대교),한강,38.65666667,128.10111111,1992.0,,103,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
1012110,소양강,1011650,인제군(어두원교),한강,38.23166667,128.39333333,2000.0,,104,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
1012110,소양강,1012650,인제군(원대교),한강,38.02250000,128.40194444,2002.0,,105,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
1012110,소양강,1011690,인제군(월학리),한강,38.21611111,128.32333333,1972.0,,106,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
1012110,소양강,1012702,춘천시(소양6교),,,,,,107,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
1012110,소양강,1012110,춘천시(소양강댐),,,,,,108,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
1012110,소양강,1011692,춘천시(소양강댐방수로),,,,,,109,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
2001110,안동,2001685,안동시(안동댐),낙동강,36.56888889,128.77500000,1978.0,1.74,1,DISTANCE_CANDIDATE,거리 기반 후보입니다. 공식 하류 대표 관측소 여부는 추가 확인 필요
2001110,안동,2002692,안동시(포진교),낙동강,36.53666667,128.79583333,1987.0,5.75,2,DISTANCE_CANDIDATE,거리 기반 후보입니다. 공식 하류 대표 관측소 여부는 추가 확인 필요
2001110,안동,2003610,안동시(안동대교),낙동강,36.55027778,128.69972222,1995.0,7.31,3,DISTANCE_OFFICIAL,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
2001110,안동,9000255,고현,,,,,,101,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
2001110,안동,2001660,도산,,,,,,102,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
2001110,안동,9000194,무계,,,,,,103,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
2001110,안동,9000193,보현,,,,,,104,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
2001110,안동,2001667,봉화군(양삼교),,,,,,105,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
2001110,안동,2001630,봉화군(임기리),낙동강,36.86666667,129.00111111,1978.0,,106,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
